"area","subarea","name","condition","cylinders","drive","fuel","odometer","paintcolor","size","transmission","type","dealer","price","lnprice","year","age","lnodometer","LE","XLE","SE","cond_excellent","cond_good","cond_likenew","cylind6","agesq","agecu","odometersq"
"chicago","chicago city","2015 Toyota_ Camry_","excellent","other","Missing","gas",3.5721,NA,NA,"automatic","sedan",1,14850,9.6057549,2015,3,1.2731537,0,0,0,1,0,0,0,9,27,12.75989841
"chicago","chicago city","2016 TOYOTA CAMRY","Missing","Missing","fwd","gas",1.3152,NA,NA,"automatic","sedan",1,15630,9.6569471,2016,2,0.27398875,0,0,0,0,0,0,0,4,8,1.72975104
"chicago","chicago city","1993 toyota camry","good","6 cylinders","fwd","gas",18.7,"red","full-size","automatic","sedan",0,850,6.7452364,1993,25,2.9285235,0,0,0,0,1,0,1,625,15625,349.69
"chicago","chicago city","1998 toyota camry le","Missing","Missing","Missing","gas",16.8242588043213,NA,NA,"automatic","Missing",0,1600,7.377759,1998,20,2.8228219,1,0,0,0,0,0,0,400,8000,283.055684314782
"chicago","chicago city","1998 Toyota Camry","Missing","Missing","Missing","gas",16.8242588043213,NA,NA,"automatic","Missing",0,1500,7.3132205,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.055684314782
"chicago","chicago city","1999 toyota camry","good","4 cylinders","fwd","gas",20.2,NA,NA,"automatic","sedan",0,1650,7.4085307,1999,19,3.0056827,0,0,0,0,1,0,0,361,6859,408.04
"chicago","chicago city","2000 toyota camry le","excellent","4 cylinders","fwd","gas",10.7,"white","mid-size","automatic","sedan",0,2295,7.7384882,2000,18,2.3702438,1,0,0,1,0,0,0,324,5832,114.49
"chicago","chicago city","2002 toyota camry solara","Missing","6 cylinders","fwd","gas",16,"black",NA,"automatic","Missing",0,1650,7.4085307,2002,16,2.7725887,0,0,0,0,0,0,1,256,4096,256
"chicago","chicago city","2002 toyota camry","Missing","Missing","Missing","gas",14.3267211914062,NA,NA,"automatic","Missing",0,3500,8.1605186,2002,16,2.6621263,0,0,0,0,0,0,0,256,4096,205.254940096289
"chicago","chicago city","2003 Toyota CAMRY XLE","Missing","Missing","Missing","gas",14.0816717147827,"white",NA,"automatic","Missing",0,1100,7.0030656,2003,15,2.6448741,0,1,0,0,0,0,0,225,3375,198.293478282911
"chicago","chicago city","2003 toyota camry","Missing","4 cylinders","Missing","gas",11.9,NA,NA,"automatic","Missing",0,3800,8.2427559,2003,15,2.4765384,0,0,0,0,0,0,0,225,3375,141.61
"chicago","chicago city","2004 Toyota Camry XLE","excellent","4 cylinders","fwd","gas",16.7,NA,NA,"automatic","Missing",0,2950,7.9895606,2004,14,2.8154087,0,1,0,1,0,0,0,196,2744,278.89
"chicago","chicago city","2005 toyota camry LE","excellent","6 cylinders","4wd","gas",12.0451,"grey","full-size","automatic","sedan",0,4200,8.3428402,2005,13,2.488658,1,0,0,1,0,0,1,169,2197,145.08443401
"chicago","chicago city","2007 toyota camry","good","4 cylinders","fwd","gas",11.6269302368164,"silver","full-size","automatic","sedan",0,4500,8.4118328,2007,11,2.4533241,0,0,0,0,1,0,0,121,1331,135.185506731796
"chicago","chicago city","2007 Toyota camry","Missing","Missing","Missing","gas",11.6269302368164,NA,NA,"automatic","Missing",0,4000,8.2940493,2007,11,2.4533241,0,0,0,0,0,0,0,121,1331,135.185506731796
"chicago","chicago city","2007 Toyota Camry SE","excellent","4 cylinders","fwd","gas",10.2,"grey","mid-size","automatic","Missing",0,6000,8.6995144,2007,11,2.3223877,0,0,1,1,0,0,0,121,1331,104.04
"chicago","chicago city","2007 toyota camry xle","Missing","Missing","Missing","gas",11.6269302368164,NA,NA,"automatic","Missing",0,5999,8.6993484,2007,11,2.4533241,0,1,0,0,0,0,0,121,1331,135.185506731796
"chicago","chicago city","2008 toyota camry","Missing","4 cylinders","fwd","gas",6.58,NA,NA,"automatic","Missing",0,7700,8.9489756,2008,10,1.8840348,0,0,0,0,0,0,0,100,1000,43.2964
"chicago","chicago city","2009 toyota camry se 4dr sedan","excellent","4 cylinders","fwd","gas",11.33,"grey","mid-size","automatic","sedan",0,7200,8.8818359,2009,9,2.427454,0,0,1,1,0,0,0,81,729,128.3689
"chicago","chicago city","2009 toyota camry xle","excellent","Missing","Missing","gas",16.4503631591797,NA,NA,"automatic","Missing",0,6400,8.7640533,2009,9,2.8003476,0,1,0,1,0,0,0,81,729,270.614448068896
"chicago","chicago city","2010 toyota camry le","Missing","Missing","Missing","gas",14.6639995574951,NA,NA,"automatic","Missing",0,2000,7.6009026,2010,8,2.6853955,1,0,0,0,0,0,0,64,512,215.032883022217
"chicago","chicago city","2013 toyota camry","excellent","4 cylinders","Missing","gas",21.3,"white","compact","automatic","sedan",0,7000,8.8536654,2013,5,3.058707,0,0,0,1,0,0,0,25,125,453.69
"chicago","chicago city","2014 Toyota Camry XLE","like new","4 cylinders","fwd","gas",4.1539,"silver","mid-size","automatic","sedan",0,14900,9.6091166,2014,4,1.4240477,0,1,0,0,0,1,0,16,64,17.25488521
"chicago","chicago city","2009 Toyota Camry","like new","6 cylinders","fwd","gas",16.4503631591797,NA,NA,"automatic","sedan",0,2000,7.6009026,2009,9,2.8003476,0,0,0,0,0,1,1,81,729,270.614448068896
"chicago","chicago city","2010 toyota camry xle","excellent","6 cylinders","fwd","gas",14.6639995574951,"black","full-size","automatic","sedan",0,3030,8.0163183,2010,8,2.6853955,0,1,0,1,0,0,1,64,512,215.032883022217
"chicago","chicago city","2004 Toyota Camry","excellent","4 cylinders","Missing","gas",13.0756,"grey",NA,"automatic","sedan",0,3100,8.0391569,2004,14,2.5707479,0,0,0,1,0,0,0,196,2744,170.97131536
"chicago","chicago city","2002 toyota camry le","like new","6 cylinders","Missing","gas",12.1,"grey",NA,"automatic","sedan",0,3600,8.1886892,2002,16,2.4932055,1,0,0,0,0,1,1,256,4096,146.41
"chicago","chicago N","2002 toyota camry le 4cyl","good","4 cylinders","fwd","gas",17.3906,"blue","mid-size","automatic","sedan",0,3750,8.2295113,2002,16,2.8559299,1,0,0,0,1,0,0,256,4096,302.43296836
"chicago","chicago N","2005 toyota camry","good","4 cylinders","fwd","gas",12.3,NA,NA,"automatic","sedan",0,4400,8.3893595,2005,13,2.5095992,0,0,0,0,1,0,0,169,2197,151.29
"chicago","chicago N","2011 toyota camry se 4dr sedan","excellent","4 cylinders","fwd","gas",15.6,"black","full-size","automatic","sedan",0,6300,8.7483053,2011,7,2.7472708,0,0,1,1,0,0,0,49,343,243.36
"chicago","chicago N","1998 Toyota Camry LE","good","Missing","Missing","gas",17.5626,"brown","mid-size","automatic","sedan",0,1700,7.4383836,1998,20,2.8657715,1,0,0,0,1,0,0,400,8000,308.44491876
"chicago","chicago suburbs","1997 Toyota Camry","Missing","Missing","Missing","gas",18.7007999420166,NA,NA,"automatic","Missing",0,850,6.7452364,1997,21,2.9285662,0,0,0,0,0,0,0,441,9261,349.719918471328
"chicago","chicago suburbs","2000 toyota camry","good","4 cylinders","fwd","gas",20.2,NA,"full-size","automatic","sedan",0,2000,7.6009026,2000,18,3.0056827,0,0,0,0,1,0,0,324,5832,408.04
"chicago","chicago suburbs","2001 toyota camry","like new","Missing","Missing","gas",16.4,NA,NA,"automatic","Missing",0,2250,7.7186856,2001,17,2.7972813,0,0,0,0,0,1,0,289,4913,268.96
"chicago","chicago suburbs","2006 Toyota Camry Solara","good","4 cylinders","fwd","gas",18.5,"blue","mid-size","automatic","coupe",0,2500,7.8240461,2006,12,2.9177706,0,0,0,0,1,0,0,144,1728,342.25
"chicago","chicago suburbs","2010 toyota camry le","excellent","4 cylinders","fwd","gas",14.6639995574951,"silver","mid-size","automatic","sedan",0,7500,8.922658,2010,8,2.6853955,1,0,0,1,0,0,0,64,512,215.032883022217
"chicago","chicago suburbs","2012 TOYOTA CAMRY","good","4 cylinders","fwd","gas",7.5294,"red",NA,"automatic","Missing",0,10590,9.2676659,2012,6,2.0188153,0,0,0,0,1,0,0,36,216,56.69186436
"chicago","chicago suburbs","2002 toyota camry Le","excellent","4 cylinders","fwd","gas",10.5,"silver",NA,"automatic","sedan",0,2800,7.9373746,2002,16,2.3513753,0,0,0,1,0,0,0,256,4096,110.25
"chicago","chicago suburbs","2002 toyota camry","excellent","4 cylinders","fwd","gas",10.5,"silver",NA,"automatic","Missing",0,2800,7.9373746,2002,16,2.3513753,0,0,0,1,0,0,0,256,4096,110.25
"chicago","chicago suburbs","1998 Toyota Camry LX","excellent","6 cylinders","fwd","gas",15.88,"brown","compact","automatic","sedan",0,1850,7.5229411,1998,20,2.7650604,0,0,0,1,0,0,1,400,8000,252.1744
"chicago","chicago suburbs","1998 Toyota Camry LX","good","6 cylinders","fwd","gas",15.88,"brown","compact","automatic","sedan",0,1850,7.5229411,1998,20,2.7650604,0,0,0,0,1,0,1,400,8000,252.1744
"chicago","chicago suburbs","2008 toyota camry le","excellent","4 cylinders","rwd","gas",10.9,"black","full-size","automatic","sedan",0,6500,8.7795572,2008,10,2.3887627,1,0,0,1,0,0,0,100,1000,118.81
"chicago","indiana NW","2005 Toyota Camry XLE","good","6 cylinders","fwd","gas",16.5,"silver","mid-size","automatic","Missing",0,2400,7.7832241,2005,13,2.8033605,0,1,0,0,1,0,1,169,2197,272.25
"chicago","indiana NW","2005 toyota camry le","good","4 cylinders","fwd","gas",15.8,"grey","full-size","automatic","sedan",0,3950,8.2814713,2005,13,2.76001,1,0,0,0,1,0,0,169,2197,249.64
"chicago","chicago S","1997 toyota camry","excellent","6 cylinders","4wd","gas",10.148,NA,NA,"automatic","sedan",1,3985,8.2902927,1997,21,2.3172767,0,0,0,1,0,0,1,441,9261,102.981904
"chicago","chicago S","1999 toyota camry","Missing","Missing","Missing","gas",17.0199184417725,NA,NA,"automatic","Missing",0,2000,7.6009026,1999,19,2.8343844,0,0,0,0,0,0,0,361,6859,289.677623764586
"chicago","chicago S","2000 toyota camry xle","excellent","6 cylinders","fwd","gas",16.7,"black","compact","automatic","sedan",0,1400,7.2442274,2000,18,2.8154087,0,1,0,1,0,0,1,324,5832,278.89
"chicago","chicago S","2001 Toyota Camry","Missing","Missing","Missing","gas",11.3159,NA,NA,"automatic","Missing",0,3980,8.2890368,2001,17,2.4262087,0,0,0,0,0,0,0,289,4913,128.04959281
"chicago","chicago S","2011 toyota camry","Missing","Missing","Missing","gas",10.3230476379394,NA,NA,"automatic","Missing",0,6500,8.7795572,2011,7,2.334379,0,0,0,0,0,0,0,49,343,106.565312535167
"chicago","chicago S","2008 toyota camry","Missing","Missing","Missing","gas",12.5481119155884,"red",NA,"automatic","Missing",0,8900,9.0938063,2008,10,2.5295701,0,0,0,0,0,0,0,100,1000,157.455112646131
"chicago","chicago S","1999 Toyota camry","Missing","Missing","Missing","gas",17.0199184417725,NA,NA,"automatic","Missing",0,2000,7.6009026,1999,19,2.8343844,0,0,0,0,0,0,0,361,6859,289.677623764586
"chicago","chicago W","2000 Toyota_ Camry_","excellent","4 cylinders","fwd","gas",16.6457,"grey","mid-size","automatic","sedan",1,2400,7.7832241,2000,18,2.8121519,0,0,0,1,0,0,0,324,5832,277.07932849
"chicago","chicago W","2009 toyota camry le","like new","4 cylinders","fwd","gas",13.2572,"silver","full-size","automatic","sedan",1,5999,8.6993484,2009,9,2.5845408,1,0,0,0,0,1,0,81,729,175.75335184
"chicago","chicago W","2011 toyota camry xle","excellent","6 cylinders","fwd","gas",9.0653,"green","full-size","automatic","sedan",1,9300,9.1377697,2011,7,2.2044539,0,1,0,1,0,0,1,49,343,82.17966409
"chicago","chicago W","2013 Toyota_ Camry_","excellent","4 cylinders","fwd","gas",6.2628,"grey","mid-size","automatic","sedan",1,10500,9.2591305,2013,5,1.8346274,0,0,0,1,0,0,0,25,125,39.22266384
"chicago","chicago W","2016 Toyota_ Camry_","excellent","4 cylinders","fwd","gas",5.2482,"black","mid-size","automatic","sedan",1,12900,9.464983,2016,2,1.6578852,0,0,0,1,0,0,0,4,8,27.54360324
"chicago","chicago W","2004 Toyota camry","Missing","Missing","Missing","gas",15.4080457687378,NA,NA,"automatic","Missing",0,3300,8.1016779,2004,14,2.7348897,0,0,0,0,0,0,0,196,2744,237.407874411518
"chicago","chicago W","2004 toyota camry le 4dr sedan","excellent","4 cylinders","fwd","gas",10.5,"silver","mid-size","automatic","sedan",0,4400,8.3893595,2004,14,2.3513753,1,0,1,1,0,0,0,196,2744,110.25
"chicago","chicago W","2010 TOYOTA CAMRY","Missing","Missing","Missing","gas",14.6639995574951,NA,NA,"automatic","Missing",0,2074,7.6372342,2010,8,2.6853955,0,0,0,0,0,0,0,64,512,215.032883022217
"chicago","chicago W","2000 TOYOTA CAMRY","Missing","4 cylinders","Missing","gas",16.8334579467773,NA,NA,"automatic","Missing",0,800,6.6846118,2000,18,2.8233685,0,0,0,0,0,0,0,324,5832,283.365306445921
"chicago","chicago W","2002 Toyota Camry Solara","excellent","Missing","Missing","gas",7.7734,NA,NA,"automatic","Missing",0,5985,8.6970119,2002,16,2.0507076,0,0,0,1,0,0,0,256,4096,60.42574756
"chicago","chicago W","2002 Toyota Camry XLE","excellent","4 cylinders","fwd","gas",13.8,"silver",NA,"automatic","sedan",0,5300,8.5754623,2002,16,2.6246686,0,1,0,1,0,0,0,256,4096,190.44
"chicago","chicago W","2003 Toyota Camry","good","4 cylinders","fwd","gas",21.8,"grey",NA,"automatic","Missing",0,2700,7.9010072,2003,15,3.0819099,0,0,0,0,1,0,0,225,3375,475.24
"chicago","chicago W","2004 toyota camry solara","good","6 cylinders","fwd","gas",16.8,"red","compact","automatic","coupe",0,3600,8.1886892,2004,14,2.8213789,0,0,0,0,1,0,1,196,2744,282.24
"chicago","chicago W","2008 toyota camry","excellent","4 cylinders","fwd","gas",17.7,"grey",NA,"automatic","sedan",0,5250,8.5659838,2008,10,2.8735647,0,0,0,1,0,0,0,100,1000,313.29
"chicago","chicago W","2009 toyota camry","excellent","4 cylinders","fwd","gas",12.85,"black",NA,"automatic","sedan",0,6750,8.8172979,2009,9,2.5533438,0,0,0,1,0,0,0,81,729,165.1225
"chicago","chicago W","2012 toyota camry se 4dr sedan","excellent","4 cylinders","fwd","gas",10.5,"white","full-size","automatic","sedan",0,9995,9.2098398,2012,6,2.3513753,0,0,1,1,0,0,0,36,216,110.25
"chicago","chicago W","1994 Toyota Camry","Missing","Missing","Missing","gas",13.8,NA,NA,"automatic","Missing",0,1300,7.1701198,1994,24,2.6246686,0,0,0,0,0,0,0,576,13824,190.44
"chicago","chicago W","2010 TOYOTA CAMRY","Missing","Missing","Missing","gas",14.6639995574951,NA,NA,"automatic","Missing",0,2071,7.635787,2010,8,2.6853955,0,0,0,0,0,0,0,64,512,215.032883022217
"chicago","chicago W","1993 toyota camry","good","6 cylinders","fwd","gas",15.1,NA,NA,"automatic","Missing",0,1300,7.1701198,1993,25,2.7146947,0,0,0,0,1,0,1,625,15625,228.01
"chicago","chicago S","1999 TOYOTA CAMRY","Missing","4 cylinders","Missing","gas",13.9745,"white",NA,"automatic","sedan",1,2799,7.9370174,1999,19,2.6372342,0,0,0,0,0,0,0,361,6859,195.28665025
"chicago","chicago N","1997 Toyota Camry","Missing","Missing","Missing","gas",18.7007999420166,NA,NA,"automatic","Missing",0,2800,7.9373746,1997,21,2.9285662,0,0,0,0,0,0,0,441,9261,349.719918471328
"chicago","chicago city","1993 Toyota Camry","Missing","Missing","Missing","gas",21.9166660308838,NA,NA,"automatic","Missing",0,2200,7.6962128,1993,25,3.0872474,0,0,0,0,0,0,0,625,15625,480.340249909295
"chicago","chicago W","2009 toyota camry","excellent","4 cylinders","fwd","gas",12.85,"black",NA,"automatic","sedan",0,7250,8.8887568,2009,9,2.5533438,0,0,0,1,0,0,0,81,729,165.1225
"chicago","indiana NW","2017 Toyota Camry SE","Missing","Missing","Missing","gas",1.87281668186188,NA,NA,"automatic","Missing",1,16900,9.7350693,2017,1,0.62744355,0,0,1,0,0,0,0,1,1,3.50744232386013
"chicago","indiana NW","1998 1998 TOYOTA CAMRY","Missing","Missing","Missing","gas",16.8242588043213,NA,NA,"automatic","Missing",0,1600,7.377759,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.055684314782
"chicago","chicago W","2001 toyota camry","good","4 cylinders","fwd","gas",14.6,"silver","mid-size","automatic","sedan",0,2200,7.6962128,2001,17,2.6810215,0,0,0,0,1,0,0,289,4913,213.16
"chicago","chicago N","1993 Toyota Camry XLE V6","Missing","Missing","Missing","gas",21.9166660308838,"black",NA,"automatic","sedan",0,2700,7.9010072,1993,25,3.0872474,0,1,0,0,0,0,0,625,15625,480.340249909295
"chicago","chicago city","1998 toyota camry","Missing","Missing","Missing","gas",16.8242588043213,NA,NA,"automatic","Missing",0,1600,7.377759,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.055684314782
"chicago","chicago city","2007 toyota camry","Missing","6 cylinders","fwd","gas",11.6269302368164,"grey","full-size","automatic","Missing",0,1500,7.3132205,2007,11,2.4533241,0,0,0,0,0,0,1,121,1331,135.185506731796
"chicago","chicago N","2002 toyota camry le 4cyl","good","4 cylinders","fwd","gas",17.3906,"blue","mid-size","automatic","sedan",0,3550,8.1747026,2002,16,2.8559299,1,0,0,0,1,0,0,256,4096,302.43296836
"chicago","chicago city","2004 TOYOTA CAMRY LE","excellent","4 cylinders","fwd","gas",11.9,"white",NA,"automatic","sedan",0,3200,8.0709057,2004,14,2.4765384,1,0,0,1,0,0,0,196,2744,141.61
"chicago","chicago W","2002 toyota camry","good","6 cylinders","fwd","gas",17.5,"green","mid-size","automatic","sedan",0,3200,8.0709057,2002,16,2.862201,0,0,0,0,1,0,1,256,4096,306.25
"chicago","chicago S","2015 toyota camry le","good","4 cylinders","fwd","gas",6.0215,"grey",NA,"automatic","Missing",0,14000,9.546813,2015,3,1.7953364,1,0,0,0,1,0,0,9,27,36.25846225
"chicago","indiana NW","2007 Toyota Camry","good","Missing","Missing","gas",13,NA,NA,"automatic","Missing",0,5800,8.6656132,2007,11,2.5649493,0,0,0,0,1,0,0,121,1331,169
"chicago","chicago suburbs","2003 TOYOTA CAMRY LE","Missing","Missing","Missing","gas",6.5756,NA,NA,"automatic","Missing",0,6929,8.8434706,2003,15,1.8833659,1,0,0,0,0,0,0,225,3375,43.23851536
"chicago","chicago W","2000 toyota camry solara","Missing","Missing","Missing","gas",16.8334579467773,NA,NA,"automatic","Missing",0,1900,7.5496092,2000,18,2.8233685,0,0,0,0,0,0,0,324,5832,283.365306445921
"chicago","chicago N","1993 Toyota Camry XLE V6","Missing","Missing","Missing","gas",21.9166660308838,NA,NA,"automatic","Missing",0,2700,7.9010072,1993,25,3.0872474,0,1,0,0,0,0,0,625,15625,480.340249909295
"chicago","chicago N","1993 Toyota Camry","Missing","Missing","Missing","gas",21.9166660308838,NA,NA,"automatic","Missing",0,2200,7.6962128,1993,25,3.0872474,0,0,0,0,0,0,0,625,15625,480.340249909295
"chicago","indiana NW","2011 Toyota Camry","Missing","Missing","Missing","gas",10.3230476379394,NA,NA,"automatic","Missing",0,8300,9.0240107,2011,7,2.334379,0,0,0,0,0,0,0,49,343,106.565312535167
"chicago","chicago city","2008 Toyota camry","Missing","Missing","Missing","gas",8.5,NA,NA,"automatic","Missing",0,7700,8.9489756,2008,10,2.1400661,0,0,0,0,0,0,0,100,1000,72.25
"chicago","chicago city","2011 Toyota Camry","Missing","Missing","Missing","gas",10.3230476379394,NA,NA,"automatic","Missing",0,8300,9.0240107,2011,7,2.334379,0,0,0,0,0,0,0,49,343,106.565312535167
"chicago","chicago S","2017 toyota camry","excellent","4 cylinders","4wd","gas",0.2319,NA,NA,"automatic","sedan",1,18495,9.8252554,2017,1,-1.461449,0,0,0,1,0,0,0,1,1,0.05377761
"chicago","chicago S","2010 TOYOTA CAMRY","Missing","Missing","Missing","gas",14.6639995574951,NA,NA,"automatic","Missing",0,2069,7.6348205,2010,8,2.6853955,0,0,0,0,0,0,0,64,512,215.032883022217
"chicago","chicago N","2005 toyota camry","excellent","4 cylinders","fwd","gas",12.3,NA,"full-size","automatic","sedan",0,4400,8.3893595,2005,13,2.5095992,0,0,0,1,0,0,0,169,2197,151.29
"chicago","chicago city","2004 Toyota Camry","good","4 cylinders","Missing","gas",13.6559,"black",NA,"automatic","sedan",0,3900,8.2687321,2004,14,2.6141717,0,0,0,0,1,0,0,196,2744,186.48360481
"chicago","chicago N","2002 toyota camry solara convertible","good","6 cylinders","Missing","gas",10.3245,NA,NA,"automatic","Missing",0,4500,8.4118328,2002,16,2.3345196,0,0,0,0,1,0,1,256,4096,106.59530025
"chicago","chicago S","2007 toyota camry solara","excellent","4 cylinders","fwd","gas",15.9,"silver",NA,"automatic","coupe",0,4500,8.4118328,2007,11,2.766319,0,0,0,1,0,0,0,121,1331,252.81
"chicago","chicago city","1998 toyota camry","Missing","Missing","Missing","gas",16.8242588043213,NA,NA,"automatic","Missing",0,1500,7.3132205,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.055684314782
"chicago","chicago W","2015 Toyota Camry","Missing","4 cylinders","fwd","gas",4.96,"white",NA,"automatic","sedan",1,14491,9.5812826,2015,3,1.6014057,0,0,0,0,0,0,0,9,27,24.6016
"chicago","indiana NW","2005 toyota camry le","good","4 cylinders","fwd","gas",15.8,"grey","full-size","automatic","sedan",0,3700,8.2160883,2005,13,2.76001,1,0,0,0,1,0,0,169,2197,249.64
"chicago","indiana NW","2004 Toyota camry","Missing","Missing","Missing","gas",15.4080457687378,NA,NA,"automatic","Missing",0,1500,7.3132205,2004,14,2.7348897,0,0,0,0,0,0,0,196,2744,237.407874411518
"chicago","chicago suburbs","2009 Toyota Camry","Missing","4 cylinders","fwd","gas",11.8068,"black","mid-size","automatic","sedan",1,6499,8.7794037,2009,9,2.4686756,0,0,0,0,0,0,0,81,729,139.40052624
"chicago","chicago city","2007 toyota camry le","excellent","4 cylinders","fwd","gas",11.6269302368164,"blue","mid-size","automatic","Missing",1,9995,9.2098398,2007,11,2.4533241,1,0,0,1,0,0,0,121,1331,135.185506731796
"chicago","chicago suburbs","2012 Toyota Camry","Missing","4 cylinders","fwd","gas",8.0504,"silver","mid-size","automatic","sedan",1,11386,9.3401394,2012,6,2.0857217,0,0,0,0,0,0,0,36,216,64.80894016
"chicago","chicago W","2015 Toyota Camry","Missing","4 cylinders","fwd","gas",6.1448,"black","mid-size","automatic","sedan",1,13906,9.5400753,2015,3,1.8156062,0,0,0,0,0,0,0,9,27,37.75856704
"chicago","chicago S","2006 toyota camry solara convertible","excellent","6 cylinders","fwd","gas",14,"silver","mid-size","automatic","convertible",0,4950,8.507143,2006,12,2.6390574,0,0,0,1,0,0,1,144,1728,196
"chicago","chicago W","2007 toyota camry le","excellent","4 cylinders","fwd","gas",14.55,"yellow",NA,"automatic","sedan",0,5390,8.5923004,2007,11,2.6775911,1,0,0,1,0,0,0,121,1331,211.7025
"chicago","chicago city","1998 toyota camry","good","Missing","fwd","gas",16.8242588043213,"green","full-size","automatic","sedan",1,1800,7.495542,1998,20,2.8228219,0,0,0,0,1,0,0,400,8000,283.055684314782
"chicago","chicago suburbs","2009 Toyota Camry SE","good","4 cylinders","fwd","gas",12.4,"red","mid-size","automatic","sedan",0,6995,8.852951,2009,9,2.5176964,0,0,1,0,1,0,0,81,729,153.76
"chicago","chicago city","2005 toyota camry le","good","4 cylinders","fwd","gas",12.1,"silver","full-size","automatic","sedan",0,6000,8.6995144,2005,13,2.4932055,1,0,0,0,1,0,0,169,2197,146.41
"chicago","chicago S","2014 toyota camry","excellent","4 cylinders","4wd","gas",3.9298,"white",NA,"automatic","sedan",1,13995,9.5464554,2014,4,1.3685886,0,0,0,1,0,0,0,16,64,15.44332804
"chicago","chicago city","2008 Toyota_ Camry_ Solara_","excellent","6 cylinders","fwd","gas",15.5386,"black","sub-compact","automatic","convertible",1,4900,8.4969902,2008,10,2.7433271,0,0,0,1,0,0,1,100,1000,241.44808996
"chicago","chicago W","2007 Toyota Camry","excellent","4 cylinders","fwd","gas",11.5515,"silver","mid-size","automatic","sedan",1,6490,8.778018,2007,11,2.4468153,0,0,0,1,0,0,0,121,1331,133.43715225
"chicago","chicago city","2013 Toyota_ Camry_","excellent","4 cylinders","fwd","gas",6.3,"silver","mid-size","automatic","sedan",1,12500,9.4334841,2013,5,1.8405496,0,0,0,1,0,0,0,25,125,39.69
"chicago","chicago suburbs","2004 toyota camry","Missing","Missing","Missing","gas",13.4333,NA,NA,"automatic","sedan",1,5500,8.6125031,2004,14,2.5977366,0,0,0,0,0,0,0,196,2744,180.45354889
"chicago","chicago suburbs","2008 toyota camry le","excellent","4 cylinders","rwd","gas",10.9,"black","full-size","automatic","sedan",0,6000,8.6995144,2008,10,2.3887627,1,0,0,1,0,0,0,100,1000,118.81
"chicago","chicago S","2013 toyota camry se","good","4 cylinders","Missing","gas",7.6,"silver",NA,"automatic","Missing",0,12000,9.392662,2013,5,2.0281482,0,0,1,0,1,0,0,25,125,57.76
"chicago","chicago suburbs","2002 toyota camry","good","6 cylinders","fwd","gas",16.2,"red",NA,"automatic","convertible",0,3499,8.1602325,2002,16,2.7850113,0,0,0,0,1,0,1,256,4096,262.44
